char,pos,sum
a,141 304 307 163 64,979
b,173 16 57 24 11,281
c,198 40 56 152 31,477
d,111 20 75 69 118,393
e,72 242 177 318 424,1233
f,136 8 25 35 26,230
g,115 12 67 76 41,311
h,69 144 9 28 139,389
i,34 202 266 158 11,671
j,20 2 3 2 0,27
k,20 10 12 55 113,210
l,88 201 112 162 156,719
m,107 38 61 68 42,316
n,37 87 139 182 130,575
o,41 279 244 132 58,754
p,142 61 58 50 56,367
q,23 5 1 0 0,29
r,105 267 163 152 212,899
s,366 16 80 171 36,669
t,149 77 111 139 253,729
u,33 186 165 82 1,467
v,43 15 49 46 0,153
w,83 44 26 25 17,195
x,0 14 12 3 8,37
y,6 23 29 3 364,425
z,3 2 11 20 4,40
